scenario_id,seed,n,clean,interference,noise,input,true_frequency_hz
DEV-F0-NONE,0,0,0,0.494452894,0,0.494452894,50
DEV-F0-NONE,0,1,0.0160733238,0.447302014,0,0.46337533,50
DEV-F0-NONE,0,2,0.0320769325,0.356366247,0,0.388443172,50
DEV-F0-NONE,0,49,0.074297592,-0.49317643,0,-0.418878853,50
DEV-F0-NONE,0,50,0.0647210255,-0.494425744,0,-0.429704726,50
DEV-F0-NONE,0,99,-0.071268484,0.49314934,0,0.421880841,50
DEV-F0-NONE,0,100,-0.0760838613,0.494398415,0,0.418314546,50
DEV-F0-NONE,0,3998,-0.0320759788,0.441754311,0,0.40967834,50
DEV-F0-NONE,0,3999,-0.0160721224,0.49105382,0,0.474981695,50
DEV-F0-NONE,0,4000,1.44556168e-06,0.49228549,0,0.49228695,50
DEV-F0-NONE,0,4001,0.0160750076,0.445328891,0,0.461403906,50
DEV-F0-NONE,0,7999,-0.0160708018,0.488913238,0,0.472842425,50
DEV-F0-NONE,1,0,0,0.455701023,0,0.455701023,50
DEV-F0-NONE,1,1,0.0160733238,0.369814426,0,0.385887742,50
DEV-F0-NONE,1,2,0.0320769325,0.24772805,0,0.279804975,50
DEV-F0-NONE,1,49,0.074297592,-0.49695316,0,-0.422655582,50
DEV-F0-NONE,1,50,0.0647210255,-0.455675751,0,-0.390954733,50
DEV-F0-NONE,1,99,-0.071268484,0.49692595,0,0.425657451,50
DEV-F0-NONE,1,100,-0.0760838613,0.455650657,0,0.379566789,50
DEV-F0-NONE,1,3998,-0.0320759788,0.487477183,0,0.455401212,50
DEV-F0-NONE,1,3999,-0.0160721224,0.494800508,0,0.478728384,50
DEV-F0-NONE,1,4000,1.44556168e-06,0.453689367,0,0.453690827,50
DEV-F0-NONE,1,4001,0.0160750076,0.368168056,0,0.384243071,50
DEV-F0-NONE,1,7999,-0.0160708018,0.49263069,0,0.476559877,50
DEV-F0-NONE,2,0,0,0.499334067,0,0.499334067,50
DEV-F0-NONE,2,1,0.0160733238,0.466924697,0,0.482998013,50
DEV-F0-NONE,2,2,0.0320769325,0.388809592,0,0.420886517,50
DEV-F0-NONE,2,49,0.074297592,-0.482838929,0,-0.408541322,50
DEV-F0-NONE,2,50,0.0647210255,-0.499306798,0,-0.43458578,50
DEV-F0-NONE,2,99,-0.071268484,0.482812643,0,0.411544144,50
DEV-F0-NONE,2,100,-0.0760838613,0.499279469,0,0.423195601,50
DEV-F0-NONE,2,3998,-0.0320759788,0.417318523,0,0.385242552,50
DEV-F0-NONE,2,3999,-0.0160721224,0.480763197,0,0.464691073,50
DEV-F0-NONE,2,4000,1.44556168e-06,0.497147352,0,0.497148812,50
DEV-F0-NONE,2,4001,0.0160750076,0.464867264,0,0.480942279,50
DEV-F0-NONE,2,7999,-0.0160708018,0.47867021,0,0.462599397,50
DEV-F0-NONE,3,0,0,0.207650334,0,0.207650334,50
DEV-F0-NONE,3,1,0.0160733238,0.0569333732,0,0.073006697,50
DEV-F0-NONE,3,2,0.0320769325,-0.0993562937,0,-0.0672793612,50
DEV-F0-NONE,3,49,0.074297592,-0.3380225,0,-0.263724923,50
DEV-F0-NONE,3,50,0.0647210255,-0.207638562,0,-0.142917544,50
DEV-F0-NONE,3,99,-0.071268484,0.338003665,0,0.266735196,50
DEV-F0-NONE,3,100,-0.0760838613,0.207626745,0,0.131542891,50
DEV-F0-NONE,3,3998,-0.0320759788,0.433417469,0,0.401341498,50
DEV-F0-NONE,3,3999,-0.0160721224,0.336531579,0,0.320459455,50
DEV-F0-NONE,3,4000,1.44556168e-06,0.206703886,0,0.206705332,50
DEV-F0-NONE,3,4001,0.0160750076,0.05664289,0,0.0727178976,50
DEV-F0-NONE,3,7999,-0.0160708018,0.335029185,0,0.318958372,50
DEV-F0-NONE,4,0,0,0.387069017,0,0.387069017,50
DEV-F0-NONE,4,1,0.0160733238,0.465930194,0,0.48200351,50
DEV-F0-NONE,4,2,0.0320769325,0.499182761,0,0.531259716,50
DEV-F0-NONE,4,49,0.074297592,-0.270304203,0,-0.196006611,50
DEV-F0-NONE,4,50,0.0647210255,-0.387048125,0,-0.322327107,50
DEV-F0-NONE,4,99,-0.071268484,0.270289779,0,0.199021295,50
DEV-F0-NONE,4,100,-0.0760838613,0.387027144,0,0.310943276,50
DEV-F0-NONE,4,3998,-0.0320759788,0.126590386,0,0.0945144072,50
DEV-F0-NONE,4,3999,-0.0160721224,0.269169629,0,0.253097504,50
DEV-F0-NONE,4,4000,1.44556168e-06,0.385400414,0,0.385401875,50
DEV-F0-NONE,4,4001,0.0160750076,0.463905305,0,0.47998032,50
DEV-F0-NONE,4,7999,-0.0160708018,0.268026292,0,0.251955479,50
DEV-F1-20DB,0,0,0,0.494452894,-0.00527793681,0.489174962,49
DEV-F1-20DB,0,1,0.0160733238,0.448697031,-0.0180773064,0.446693033,49
DEV-F1-20DB,0,2,0.0320769325,0.360745251,0.0103520015,0.403174192,49
DEV-F1-20DB,0,49,0.074297592,-0.445091188,-0.00888192933,-0.379675508,49
DEV-F1-20DB,0,50,0.0647210255,-0.49317643,-0.00705149956,-0.43550691,49
DEV-F1-20DB,0,99,-0.071268484,0.352911651,0.0143080698,0.295951217,49
DEV-F1-20DB,0,100,-0.0760838613,0.443627298,0.0116696833,0.379213125,49
DEV-F1-20DB,0,3998,-0.0320759788,0.444639146,-0.00716735749,0.405395806,49
DEV-F1-20DB,0,3999,-0.0160721224,0.491598755,-0.00175174477,0.47377488,49
DEV-F1-20DB,0,4000,1.44556168e-06,0.49232769,0.00101361691,0.493342757,51
DEV-F1-20DB,0,4001,0.0160750076,0.443961501,-0.0142965708,0.445739955,51
DEV-F1-20DB,0,7999,-0.0160708018,0.488360375,0.010108023,0.482397586,51
DEV-F1-20DB,1,0,0,0.455701023,0.0122354887,0.467936516,49
DEV-F1-20DB,1,1,0.0160733238,0.37192145,0.00416105473,0.392155826,49
DEV-F1-20DB,1,2,0.0320769325,0.253166139,0.0419191942,0.327162266,49
DEV-F1-20DB,1,49,0.074297592,-0.490212679,0.00473037548,-0.411184698,49
DEV-F1-20DB,1,50,0.0647210255,-0.49695316,-0.00143810082,-0.433670253,49
DEV-F1-20DB,1,99,-0.071268484,0.435817599,0.00562333176,0.370172441,49
DEV-F1-20DB,1,100,-0.0760838613,0.489558578,-0.0116368355,0.401837885,49
DEV-F1-20DB,1,3998,-0.0320759788,0.488750368,0.000684001658,0.45735839,49
DEV-F1-20DB,1,3999,-0.0160721224,0.494493395,0.0141821112,0.492603391,49
DEV-F1-20DB,1,4000,1.44556168e-06,0.453733623,0.0055932207,0.459328294,51
DEV-F1-20DB,1,4001,0.0160750076,0.366093457,-0.00263922149,0.379529238,51
DEV-F1-20DB,1,7999,-0.0160708018,0.49294591,-0.00927859172,0.467596501,51
DEV-F1-20DB,2,0,0,0.499334067,0.0129666999,0.512300789,49
DEV-F1-20DB,2,1,0.0160733238,0.468039095,0.00836223923,0.492474645,49
DEV-F1-20DB,2,2,0.0320769325,0.392729193,0.000583102112,0.42538923,49
DEV-F1-20DB,2,49,0.074297592,-0.420811832,0.034468744,-0.312045485,49
DEV-F1-20DB,2,50,0.0647210255,-0.482838809,-0.0113025699,-0.429420352,49
DEV-F1-20DB,2,99,-0.071268484,0.316769779,0.00981394667,0.255315244,49
DEV-F1-20DB,2,100,-0.0760838613,0.4190844,-0.0118325371,0.331167996,49
DEV-F1-20DB,2,3998,-0.0320759788,0.420731395,0.00700967945,0.395665109,49
DEV-F1-20DB,2,3999,-0.0160721224,0.481607646,0.022180127,0.487715662,49
DEV-F1-20DB,2,4000,1.44556168e-06,0.49719277,-0.00610987796,0.491084367,51
DEV-F1-20DB,2,4001,0.0160750076,0.463783205,0.00676294975,0.486621171,51
DEV-F1-20DB,2,7999,-0.0160708018,0.477822721,0.0053942441,0.467146158,51
DEV-F1-20DB,3,0,0,0.207650334,0.00526094902,0.212911278,49
DEV-F1-20DB,3,1,0.0160733238,0.0600533783,0.00843918975,0.0845658928,49
DEV-F1-20DB,3,2,0.0320769325,-0.0931907445,0.00943857525,-0.0516752377,49
DEV-F1-20DB,3,49,0.074297592,-0.433764935,-0.0093141105,-0.368781447,49
DEV-F1-20DB,3,50,0.0647210255,-0.338022411,-0.0055558295,-0.278857231,49
DEV-F1-20DB,3,99,-0.071268484,0.489342183,0.020803567,0.438877285,49
DEV-F1-20DB,3,100,-0.0760838613,0.435294628,-0.0152632585,0.3439475,49
DEV-F1-20DB,3,3998,-0.0320759788,0.430347949,-0.00704408158,0.391227901,49
