algorithm,n,input,output,frequency_used_hz,frequency_next_hz,tracker_calls,state_used,state_next,residual_ratio
0,0,0.489174962,0.486668468,50,50,0,3,3,0
0,1,0.446693033,0.439660996,50,50,0,3,3,0
0,2,0.403174192,0.3927885,50,50,0,3,3,0
0,49,-0.379675508,-0.275568724,50,50,0,3,3,0
0,99,0.295951217,0.126865491,50,50,0,3,3,0
0,149,-0.221480265,-0.0259203352,50,50,0,3,3,0
0,199,0.129248306,-0.055676572,50,50,0,3,3,0
0,249,0.0145589989,0.157109901,50,50,0,3,3,0
0,299,-0.15260306,-0.228404194,50,50,0,3,3,0
0,349,0.404694825,0.397616357,50,50,0,3,3,0
0,399,-0.538025737,-0.439968437,50,50,0,3,3,0
0,449,0.548389733,0.363651931,50,50,0,3,3,0
0,499,-0.493857861,-0.237074926,50,50,0,3,3,0
0,549,0.380731553,0.0770585984,50,50,0,3,3,0
0,599,-0.27293694,0.051386334,50,50,0,3,3,0
0,649,0.216997534,-0.0981323197,50,50,0,3,3,0
0,699,-0.151955232,0.125796705,50,50,0,3,3,0
0,749,0.00897341222,-0.206399918,50,50,0,3,3,0
0,799,0.205920145,0.338530779,50,50,0,3,3,0
0,849,-0.404471785,-0.44121182,50,50,0,3,3,0
0,899,0.509530544,0.445322335,50,50,0,3,3,0
0,949,-0.542521179,-0.384816408,50,50,0,3,3,0
0,999,0.49014166,0.254747003,50,50,0,3,3,0
0,1049,-0.344210207,-0.0561817959,50,50,0,3,3,0
0,1099,0.268067628,-0.0449373536,50,50,0,3,3,0
0,1149,-0.210975349,0.0958934873,50,50,0,3,3,0
0,1199,0.132525846,-0.139251858,50,50,0,3,3,0
0,1249,-0.000435139751,0.209523201,50,50,0,3,3,0
0,1299,-0.191690192,-0.319427401,50,50,0,3,3,0
0,1349,0.406891674,0.44028002,50,50,0,3,3,0
0,1399,-0.526486218,-0.460268259,50,50,0,3,3,0
0,1449,0.536307931,0.376086891,50,50,0,3,3,0
0,1499,-0.466428518,-0.229361758,50,50,0,3,3,0
0,1549,0.366122365,0.0764768794,50,50,0,3,3,0
0,1599,-0.293568522,0.0183148161,50,50,0,3,3,0
0,1649,0.246656224,-0.0598587245,50,50,0,3,3,0
0,1699,-0.106409565,0.165188432,50,50,0,3,3,0
0,1749,-0.00171983172,-0.211480677,50,50,0,3,3,0
0,1799,0.194322363,0.321865231,50,50,0,3,3,0
0,1849,-0.394644082,-0.427466989,50,50,0,3,3,0
0,1899,0.534117341,0.467690706,50,50,0,3,3,0
0,1949,-0.534886062,-0.375164211,50,50,0,3,3,0
0,1999,0.478407651,0.24242875,50,50,0,3,3,0
0,2049,-0.357740581,-0.0690478832,50,50,0,3,3,0
0,2099,0.258341968,-0.0536240488,50,50,0,3,3,0
0,2149,-0.247736678,0.0564523712,50,50,0,3,3,0
0,2199,0.120183781,-0.148756534,50,50,0,3,3,0
0,2249,-0.0244940873,0.184271157,50,50,0,3,3,0
0,2299,-0.220287234,-0.347409606,50,50,0,3,3,0
0,2349,0.372914255,0.405286044,50,50,0,3,3,0
0,2399,-0.553104639,-0.486314356,50,50,0,3,3,0
0,2449,0.553457677,0.393706441,50,50,0,3,3,0
0,2499,-0.4833242,-0.246678367,50,50,0,3,3,0
0,2549,0.357042044,0.0678218454,50,50,0,3,3,0
0,2599,-0.287606478,0.0243135113,50,50,0,3,3,0
0,2649,0.246774182,-0.0579561964,50,50,0,3,3,0
0,2699,-0.143735841,0.1262151,50,50,0,3,3,0
0,2749,0.0122487042,-0.196514934,50,50,0,3,3,0
0,2799,0.190834582,0.319464117,50,50,0,3,3,0
0,2849,-0.389297754,-0.422622651,50,50,0,3,3,0
0,2899,0.531944156,0.465917647,50,50,0,3,3,0
0,2949,-0.523403227,-0.364173502,50,50,0,3,3,0
0,2999,0.465569437,0.229229569,50,50,0,3,3,0
0,3049,-0.349170864,-0.060551405,50,50,0,3,3,0
0,3099,0.269160181,-0.0431681052,50,50,0,3,3,0
0,3149,-0.222133681,0.0836258084,50,50,0,3,3,0
0,3199,0.141341329,-0.128865004,50,50,0,3,3,0
0,3249,-0.012562667,0.196282566,50,50,0,3,3,0
0,3299,-0.178428441,-0.30742088,50,50,0,3,3,0
0,3349,0.389887214,0.424171388,50,50,0,3,3,0
0,3399,-0.547935188,-0.483372271,50,50,0,3,3,0
0,3449,0.545954764,0.387383729,50,50,0,3,3,0
0,3499,-0.457879215,-0.222565219,50,50,0,3,3,0
