algorithm,trajectory,seed,output_snr_db,frequency_mae_hz,tracker_calls,state_fast_samples,state_mid_samples,state_slow_samples,state_transitions,host_ns_per_sample,host_tsc_ticks_per_sample,finite
2,F1,100,14.183063827,0.079270864,160,8000,0,0,0,2681.600000,6178.183875,1
2,F1,101,14.124023881,0.079062414,160,8000,0,0,0,2773.050000,6388.814125,1
2,F1,102,14.117109140,0.077812529,160,8000,0,0,0,2682.600000,6180.457375,1
2,F1,103,14.139194957,0.078750014,160,8000,0,0,0,2726.550000,6281.823500,1
2,F1,104,14.170967185,0.080937505,160,8000,0,0,0,2637.350000,6076.269125,1
2,F1,105,14.116650424,0.077812529,160,8000,0,0,0,2646.650000,6097.702500,1
2,F1,106,14.219201225,0.074895883,160,8000,0,0,0,2750.437500,6336.817625,1
2,F1,107,14.250070828,0.075051999,160,8000,0,0,0,2708.887500,6240.964875,1
2,F1,108,14.172009204,0.079270864,160,8000,0,0,0,2720.937500,6268.830000,1
2,F1,109,14.178161631,0.075833368,160,8000,0,0,0,2705.737500,6233.706125,1
2,F3,100,15.782991100,0.080208897,160,8000,0,0,0,2690.062500,6197.632125,1
2,F3,101,15.673707929,0.078750657,160,8000,0,0,0,2780.575000,6406.209500,1
2,F3,102,15.693642817,0.077813028,160,8000,0,0,0,2708.550000,6240.246250,1
2,F3,103,15.714898221,0.079063200,160,8000,0,0,0,2646.062500,6096.448750,1
2,F3,104,15.760842509,0.080000638,160,8000,0,0,0,2628.725000,6056.355500,1
2,F3,105,15.699915317,0.077500628,160,8000,0,0,0,2615.737500,6026.490875,1
2,F3,106,15.839506387,0.074896454,160,8000,0,0,0,2714.250000,6253.441000,1
2,F3,107,15.867205328,0.075052618,160,8000,0,0,0,2721.112500,6269.238125,1
2,F3,108,15.775287621,0.078959059,160,8000,0,0,0,2733.912500,6298.857375,1
2,F3,109,15.744740631,0.077084087,160,8000,0,0,0,2691.025000,6199.892250,1
2,F4,100,14.628981172,0.240576993,160,8000,0,0,0,2678.275000,6170.517875,1
2,F4,101,14.645686200,0.229580053,160,8000,0,0,0,2769.225000,6380.111250,1
2,F4,102,14.640476007,0.231202136,160,8000,0,0,0,2655.475000,6117.868750,1
2,F4,103,14.669328105,0.230029200,160,8000,0,0,0,2656.737500,6120.947750,1
2,F4,104,14.721445583,0.232038346,160,8000,0,0,0,2664.925000,6139.826250,1
2,F4,105,14.645887715,0.231268789,160,8000,0,0,0,2643.612500,6090.605500,1
2,F4,106,14.700889168,0.236827217,160,8000,0,0,0,2717.612500,6258.586250,1
2,F4,107,14.742834364,0.235255422,160,8000,0,0,0,2758.475000,6355.258000,1
2,F4,108,14.621937906,0.240562953,160,8000,0,0,0,2760.325000,6359.583500,1
2,F4,109,14.608883071,0.237443103,160,8000,0,0,0,2727.112500,6283.013125,1
