candidate_id,complete_config_id,family,level,interval_fast_blocks,interval_mid_blocks,interval_slow_blocks,residual_new_weight,threshold_scale,block_size_samples,algorithm,paired_reference_algorithm,trajectory,seed,output_snr_db,a2_output_snr_db,paired_snr_difference_db,frequency_mae_hz,tracker_calls,a2_tracker_calls,tracker_calls_reduction_fraction,state_fast_samples,state_mid_samples,state_slow_samples,state_transitions,host_ns_per_sample,host_tsc_ticks_per_sample,finite
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F1,100,13.928815043,14.183063827,-0.2542487839999996,0.10506568,20,160,0.875,1399,600,6001,5,328.7,757.30075,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F1,101,13.877065982,14.124023881,-0.24695789899999987,0.104026794,19,160,0.88125,1299,600,6101,5,312.7375,720.5155,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F1,102,13.877885782,14.11710914,-0.23922335800000027,0.100194311,20,160,0.875,1399,600,6001,5,328.2125,756.18575,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F1,103,13.88842269,14.139194957,-0.2507722670000003,0.102749348,20,160,0.875,1399,600,6001,5,319.275,735.60375,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F1,104,13.498460322,14.170967185,-0.6725068630000006,0.125824308,20,160,0.875,1399,900,5701,6,321.0125,739.61925,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F1,105,13.875214369,14.116650424,-0.24143605499999943,0.100194311,20,160,0.875,1399,600,6001,5,329.125,758.252875,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F1,106,13.997842183,14.219201225,-0.22135904200000134,0.086357784,20,160,0.875,1399,600,6001,5,335.0625,771.92825,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F1,107,14.018787957,14.250070828,-0.23128287099999945,0.085948658,19,160,0.88125,1299,600,6101,5,308.85,711.446,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F1,108,13.921614721,14.172009204,-0.2503944830000009,0.103125429,20,160,0.875,1399,600,6001,5,329.775,759.7545,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F1,109,13.958030862,14.178161631,-0.22013076900000073,0.094774151,19,160,0.88125,1299,600,6101,5,316.7125,729.585875,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F3,100,13.658009451,15.7829911,-2.1249816490000004,0.331316518,9,160,0.94375,299,300,7401,2,139.225,320.70325,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F3,101,13.649618722,15.673707929,-2.024089207000001,0.319603185,9,160,0.94375,299,300,7401,2,148.45,341.953375,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F3,102,13.669849046,15.693642817,-2.023793771000001,0.317468882,9,160,0.94375,299,300,7401,2,135.9625,313.21325,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F3,103,14.009094014,15.714898221,-1.705804207,0.28412373,10,160,0.9375,299,1000,6701,4,153.8375,354.374,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F3,104,13.745716707,15.760842509,-2.015125802,0.31723351,9,160,0.94375,299,500,7201,2,136.225,313.824875,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F3,105,13.66955306,15.699915317,-2.030362257,0.317468882,9,160,0.94375,299,300,7401,2,137.925,317.773,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F3,106,13.744536955,15.839506387,-2.094969432000001,0.312488173,9,160,0.94375,299,300,7401,2,132.7375,305.77075,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F3,107,13.770683598,15.867205328,-2.096521730000001,0.311434316,9,160,0.94375,299,300,7401,2,133.525,307.65025,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F3,108,13.66906306,15.775287621,-2.106224561000001,0.32873783,9,160,0.94375,299,300,7401,2,136.8625,315.3275,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F3,109,13.664630497,15.744740631,-2.0801101340000017,0.321589469,9,160,0.94375,299,300,7401,2,153.2375,352.995875,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F4,100,12.478919233,14.628981172,-2.1500619390000004,0.397281563,38,160,0.7625,3099,2100,2801,14,634.2875,1461.325875,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F4,101,12.677663227,14.6456862,-1.968022973,0.374897497,36,160,0.775,2799,2800,2401,14,638.075,1470.09375,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F4,102,12.645356101,14.640476007,-1.9951199059999993,0.377705406,37,160,0.76875,2899,2700,2401,14,656.725,1513.023375,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F4,103,12.576038138,14.669328105,-2.0932899670000005,0.381028533,36,160,0.775,2799,2600,2601,14,630.725,1453.114,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F4,104,12.55846636,14.721445583,-2.162979222999999,0.396122619,35,160,0.78125,2699,1801,3500,15,608.1125,1400.991875,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F4,105,12.627228644,14.645887715,-2.018659071,0.377549921,37,160,0.76875,2899,2600,2501,14,631.95,1455.905125,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F4,106,12.566795316,14.700889168,-2.1340938519999995,0.393124339,35,160,0.78125,2699,2500,2801,14,579.2375,1334.430125,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F4,107,12.648669644,14.742834364,-2.09416472,0.387057732,39,160,0.75625,2999,2800,2201,14,679.7,1565.814125,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F4,108,12.495944622,14.621937906,-2.1259932839999998,0.395288033,37,160,0.76875,2999,2300,2701,14,627.4875,1445.618875,1
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,3,2,F4,109,12.374538172,14.608883071,-2.234344899,0.403132839,36,160,0.775,2699,2700,2601,14,612.85,1411.92875,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F1,100,14.319706402,14.183063827,0.13664257499999977,0.073385406,320,160,-1.0,8000,0,0,0,5472.6,12608.607625,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F1,101,14.260677227,14.124023881,0.136653346000001,0.072343707,320,160,-1.0,8000,0,0,0,5478.3125,12621.80625,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F1,102,14.259288216,14.11710914,0.14217907599999968,0.070937455,320,160,-1.0,8000,0,0,0,5656.6625,13032.680375,1
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,3,2,F1,103,14.285073506,14.139194957,0.14587854899999897,0.0720312,320,160,-1.0,8000,0,0,0,5634.125,12980.75475,1
