candidate_id,complete_config_id,family,level,interval_fast_blocks,interval_mid_blocks,interval_slow_blocks,residual_new_weight,threshold_scale,block_size_samples,run_count,mean_paired_snr_difference_db,median_paired_snr_difference_db,minimum_paired_snr_difference_db,paired_snr_bootstrap_ci95_lower_db,paired_snr_bootstrap_ci95_upper_db,snr_gate_pass,median_host_tsc_ticks_per_sample,median_host_ns_per_sample,median_tracker_calls_reduction_fraction,all_finite,selected
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,30,-0.24742025160000025,-0.27196450699999986,-0.4886883649999998,-0.3135136961983336,-0.1793458998991669,True,1958.4281875,850.06875,0.671875,True,False
intervals-1-3-12,da2acf7eee63d91c,state_intervals,1/3/12,1,3,12,0.15,1.0,50,30,-0.38059697846666674,-0.4704750699999991,-0.7529195059999996,-0.47982594250083366,-0.27939206609833345,True,1566.8899375,680.09375,0.7406250000000001,True,False
intervals-1-4-16,b5e67ba091c9f2dc,state_intervals,1/4/16,1,4,16,0.15,1.0,50,30,-0.41362416726666684,-0.4600678140000003,-0.8367119449999993,-0.5286555342675003,-0.29459279403416694,False,1318.3602500000002,572.21875,0.765625,True,False
residual-new-0p05,d8c01d9e37dbf62b,residual_new_weight,0.05,1,3,12,0.05,1.0,50,30,-0.5007030085000002,-0.6869044244999998,-0.8752176190000007,-0.6239977036683335,-0.3681737653183335,False,1834.9821874999998,796.45625,0.69375,True,False
residual-new-0p15,da2acf7eee63d91c,residual_new_weight,0.15,1,3,12,0.15,1.0,50,30,-0.38059697846666674,-0.4704750699999991,-0.7529195059999996,-0.4797815788133334,-0.2777953061191667,True,1502.674625,652.25,0.7406250000000001,True,False
residual-new-0p30,2bbfc2ff25556e06,residual_new_weight,0.3,1,3,12,0.3,1.0,50,30,-0.27775948190000016,-0.27330543400000007,-0.6477001290000004,-0.3590428802325003,-0.19512479708666694,True,1225.3289375,531.8375,0.7875,True,True
threshold-scale-0p75,a894e0f0ff8dd7f6,threshold_scale,0.75,1,3,12,0.15,0.75,50,30,-0.2688459726333335,-0.27297268499999916,-0.6121045200000008,-0.3481504989808335,-0.1912265585900001,True,1666.106375,723.2,0.715625,True,False
threshold-scale-1p00,da2acf7eee63d91c,threshold_scale,1.0,1,3,12,0.15,1.0,50,30,-0.38059697846666674,-0.4704750699999991,-0.7529195059999996,-0.4804468451183334,-0.2784231859883333,True,1511.0739374999998,655.875,0.7406250000000001,True,False
threshold-scale-1p25,520364bcca39e572,threshold_scale,1.25,1,3,12,0.15,1.25,50,30,-0.4395022306000001,-0.613367341,-0.7729090969999994,-0.5481527155608333,-0.3229169907066669,False,1376.3665,597.4,0.75625,True,False
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,30,0.12491577273333335,0.13708925050000076,0.01745896999999985,0.09840325960499989,0.1511819849608335,True,12767.888500000001,5541.8125,-1.0,True,False
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,30,-0.38059697846666674,-0.4704750699999991,-0.7529195059999996,-0.47859865283833336,-0.2792920276183334,True,1504.51825,653.03125,0.7406250000000001,True,False
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,30,-1.4702341658333336,-2.0212264210000006,-2.234344899,-1.761214026164167,-1.1562858795408337,False,747.9024999999999,324.61249999999995,0.875,True,False
