algorithm,archive,archive_algorithm_index,archive_seed_index,f42_amplitude_error,f42_clean_amplitude,f42_output_amplitude,f42_phase_error_rad,f58_amplitude_error,f58_clean_amplitude,f58_output_amplitude,f58_phase_error_rad,frequency_mae_hz,frequency_p95_abs_error_hz,input_sha256,input_snr_db,matrix,near_line,noise,output_sha256,output_snr_db,pli_amplitude,rmse,run_id,sample_count,seed,snr_improvement_db,state_fast_fraction,state_mid_fraction,state_slow_fraction,state_transitions,status,tracker_calls,trajectory
0,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,0,0,,,,,,,,,0.0,0.0,4AEB485EC7548476E1834E347B0596285FEE02D27179620F9085160963F85A39,0.2908240034546402,main,N0,0,DB86C926FD080A9D047F13C88AF303199FC22EA894C26536DCF1EA7CF3184D1B,19.47446789755573,0.2,0.01546780473816712,main-A0-F0-P0.20-Z0-N0-S1000,8000,1000,19.18364389410109,0.0,0.0,0.0,0,PASS,0,F0
1,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,1,0,,,,,,,,,0.0,0.0,4AEB485EC7548476E1834E347B0596285FEE02D27179620F9085160963F85A39,0.2908240034546402,main,N0,0,7F2377D01BEA8F15B16EDFA648EB50F01C3CBE47AAB3BD84BE8037DE6ACC6C82,22.589366190997055,0.2,0.010806467864659068,main-A1-F0-P0.20-Z0-N0-S1000,8000,1000,22.298542187542413,0.0,0.0,0.0,0,PASS,0,F0
2,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,2,0,,,,,,,,,0.004374957084655762,7.057189941392372e-05,4AEB485EC7548476E1834E347B0596285FEE02D27179620F9085160963F85A39,0.2908240034546402,main,N0,0,CAC5AB9DC9F4F5B20C8D4F5E32B5A7317E81FE502CFE6EED4E28C55B3D0EDA4D,22.574627879223176,0.2,0.010824819962190538,main-A2-F0-P0.20-Z0-N0-S1000,8000,1000,22.283803875768537,1.0,0.0,0.0,0,PASS,160,F0
3,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,3,0,,,,,,,,,0.007880878448486329,0.02695465087890625,4AEB485EC7548476E1834E347B0596285FEE02D27179620F9085160963F85A39,0.2908240034546402,main,N0,0,FA96A8D97E0AFBFA1375319F57091798CC48A7B8AF0B5A467DB57EE2F137CDF2,22.57210318885953,0.2,0.010827966823596635,main-A3-F0-P0.20-Z0-N0-S1000,8000,1000,22.281279185404887,0.031125,0.01875,0.950125,2,PASS,17,F0
0,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,0,1,,,,,,,,,0.0,0.0,3BB58DE2B393685A5EC85CA27F29CBCC5824D38E8932F27EE4F5A406D62DFDC0,0.2907812129892401,main,N0,0,C14E05736D4F500B9FD893949BCDD4ED7580377EFE203E9850061455E4159613,19.421515380443996,0.2,0.015562390435220744,main-A0-F0-P0.20-Z0-N0-S1001,8000,1001,19.130734167454754,0.0,0.0,0.0,0,PASS,0,F0
1,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,1,1,,,,,,,,,0.0,0.0,3BB58DE2B393685A5EC85CA27F29CBCC5824D38E8932F27EE4F5A406D62DFDC0,0.2907812129892401,main,N0,0,3C045030BAAF50FBB2E92781089FF74AF9C0769B6F5237B7039DCD5FE8AED048,22.457966458816195,0.2,0.01097119042117896,main-A1-F0-P0.20-Z0-N0-S1001,8000,1001,22.167185245826957,0.0,0.0,0.0,0,PASS,0,F0
2,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,2,1,,,,,,,,,0.009687471389770507,0.0003158569335931505,3BB58DE2B393685A5EC85CA27F29CBCC5824D38E8932F27EE4F5A406D62DFDC0,0.2907812129892401,main,N0,0,B47F3BBA75832FA497C00610D81CCB1909B5D1A3DEF713E70FFD5C99D2CCB76B,22.39542997745452,0.2,0.011050465601377651,main-A2-F0-P0.20-Z0-N0-S1001,8000,1001,22.104648764465278,1.0,0.0,0.0,0,PASS,160,F0
3,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,3,1,,,,,,,,,0.035390281677246095,0.23437118530273438,3BB58DE2B393685A5EC85CA27F29CBCC5824D38E8932F27EE4F5A406D62DFDC0,0.2907812129892401,main,N0,0,8AC5E7C22BFB016FD4F76F8B1B26020E42431EACC12AEF1AF8916C8A3AE2DD6F,22.262846429043627,0.2,0.011220436555805683,main-A3-F0-P0.20-Z0-N0-S1001,8000,1001,21.97206521605439,0.018625,0.01875,0.962625,2,PASS,15,F0
0,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,0,2,,,,,,,,,0.0,0.0,04D1830BD02972D026FA3B6A4A905400B758408E4C5A13A77DD29A1766733877,0.2907838101035184,main,N0,0,60AE0B2A8325988A8CD234D25D69C4471606FB80A67D6BAABBC9DCA540509380,19.32984482217101,0.2,0.015727505103233067,main-A0-F0-P0.20-Z0-N0-S1002,8000,1002,19.039061012067492,0.0,0.0,0.0,0,PASS,0,F0
1,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,1,2,,,,,,,,,0.0,0.0,04D1830BD02972D026FA3B6A4A905400B758408E4C5A13A77DD29A1766733877,0.2907838101035184,main,N0,0,1D7632867F55CDF4B66503C8519AD751945615ECB8CE040DBD3015520598BA6D,22.32992215361756,0.2,0.011134121807941318,main-A1-F0-P0.20-Z0-N0-S1002,8000,1002,22.03913834351404,0.0,0.0,0.0,0,PASS,0,F0
2,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,2,2,,,,,,,,,0.0015624761581420898,9.155273437477796e-06,04D1830BD02972D026FA3B6A4A905400B758408E4C5A13A77DD29A1766733877,0.2907838101035184,main,N0,0,7A4261F825E4EF62348A42B46EC8954242490C979BDB26BA66DAABE2CFB5BE43,22.327897417451634,0.2,0.011136717545140291,main-A2-F0-P0.20-Z0-N0-S1002,8000,1002,22.037113607348118,1.0,0.0,0.0,0,PASS,160,F0
3,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,3,2,,,,,,,,,0.0016403675079345703,0.00937652587890625,04D1830BD02972D026FA3B6A4A905400B758408E4C5A13A77DD29A1766733877,0.2907838101035184,main,N0,0,D342634B34F16D64FB17D60BE6D1AC2FF6BAC1D1F32FBCFF2F88AE934DB16142,22.329626103197842,0.2,0.011134501310530847,main-A3-F0-P0.20-Z0-N0-S1002,8000,1002,22.038842293094323,0.018625,0.01875,0.962625,2,PASS,15,F0
0,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,0,3,,,,,,,,,0.0,0.0,55CC778CA285BAF99044D67B7AA68FE1AF01332552507AED42BA16F11497E00B,0.290837232266592,main,N0,0,628826A9FB3A742F224DE264918ECBBF2007F5AC2D2D39938974028BF0B6B3AA,19.381829626682666,0.2,0.015633657546384686,main-A0-F0-P0.20-Z0-N0-S1003,8000,1003,19.090992394416073,0.0,0.0,0.0,0,PASS,0,F0
1,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,1,3,,,,,,,,,0.0,0.0,55CC778CA285BAF99044D67B7AA68FE1AF01332552507AED42BA16F11497E00B,0.290837232266592,main,N0,0,71ABB00B473D47A09CE02939B2A53C171D35BD7B18AD00593D941FBDE347D63A,22.380490529817653,0.2,0.011069488397360426,main-A1-F0-P0.20-Z0-N0-S1003,8000,1003,22.089653297551063,0.0,0.0,0.0,0,PASS,0,F0
2,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,2,3,,,,,,,,,0.011249899864196777,0.0003288269042962533,55CC778CA285BAF99044D67B7AA68FE1AF01332552507AED42BA16F11497E00B,0.290837232266592,main,N0,0,54D3F4DB29EC1CC22312BD98C963E9831629D578CA270C120F51768B2C7617E5,22.29562862130543,0.2,0.011178168317873402,main-A2-F0-P0.20-Z0-N0-S1003,8000,1003,22.00479138903884,1.0,0.0,0.0,0,PASS,160,F0
3,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,3,3,,,,,,,,,0.04359312057495117,0.2812461853027344,55CC778CA285BAF99044D67B7AA68FE1AF01332552507AED42BA16F11497E00B,0.290837232266592,main,N0,0,9148869D3D30EC581CC244363D7484E16AF0B6DE6417F7DE877E0152E7BE2F84,22.084251776906356,0.2,0.011453533410975752,main-A3-F0-P0.20-Z0-N0-S1003,8000,1003,21.793414544639763,0.018625,0.01875,0.962625,2,PASS,15,F0
0,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,0,4,,,,,,,,,0.0,0.0,40B0624060FE74F1745FA5759E2B9D5B9529B709DEBFEF124A10EB38EFD875EC,0.29083980745466237,main,N0,0,9D83E8E5CDE9D69DC05F979E3EB00F34F641E7B296A7473EA851E3E52956B92F,19.381105851831105,0.2,0.01563496031675032,main-A0-F0-P0.20-Z0-N0-S1004,8000,1004,19.090266044376442,0.0,0.0,0.0,0,PASS,0,F0
1,outputs\phase4_host\batches\main_F0_P020_Z0_N0.npz,1,4,,,,,,,,,0.0,0.0,40B0624060FE74F1745FA5759E2B9D5B9529B709DEBFEF124A10EB38EFD875EC,0.29083980745466237,main,N0,0,03549B09BBB5A12B2A00FC1C91317BBB7A20CD7AB045111BB29B89EB64EC1657,22.37911718989901,0.2,0.011071238750267465,main-A1-F0-P0.20-Z0-N0-S1004,8000,1004,22.088277382444343,0.0,0.0,0.0,0,PASS,0,F0
