BOOT,protocol=cssp-rdmr-pli-v0.3.0,implementation=0.3.2,schema=rdmr-block-csv-v2,firmware_revision=15
CONFIG,protocol=cssp-rdmr-pli-v0.3.0,implementation=0.3.2,schema=rdmr-block-csv-v2,firmware_revision=15,run_id=1,scenario_id=501,algorithm=0,trajectory=1,noise=1,near_line=0,seed=20260727,fs_hz=1000,sample_count=8000,block_size=50,pli_amplitude_u6=500000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,state,cycles,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,501,0,20260727,50,442794,74297,377357,49000,50000,50000,0,3,744,406,413,0,1657941,6367463,4978686,0
1,501,0,20260727,100,-498364,-71268,-355130,49000,50000,50000,0,3,418,401,413,0,88319,6263119,3035522,0
1,501,0,20260727,150,501708,9483,282450,49000,50000,50000,0,3,424,399,413,0,1062586,6219255,2174238,0
1,501,0,20260727,200,-437321,60119,-156473,49000,50000,50000,0,3,413,400,412,0,2030073,6039386,1866115,0
1,501,0,20260727,250,363699,-80157,41217,49000,50000,50000,0,3,419,398,413,0,457865,6139171,2119581,0
1,501,0,20260727,300,-325320,34111,12790,49000,50000,50000,0,3,421,400,418,0,462054,6238761,2531346,0
1,501,0,20260727,350,292625,40056,-33264,49000,50000,50000,0,3,419,399,413,0,2031670,6221150,2855004,0
1,501,0,20260727,400,-148160,-81200,138553,49000,50000,50000,0,3,425,400,416,0,1057403,6266836,3204679,0
1,501,0,20260727,450,-39412,55400,-261839,49000,50000,50000,0,3,419,401,418,0,89916,6325778,3487028,0
1,501,0,20260727,500,245464,16073,383855,49000,50000,50000,0,3,417,399,412,0,1662118,6222183,3589142,0
1,501,0,20260727,550,-442424,-74295,-483196,49000,50000,50000,0,3,419,400,413,0,1657929,6299425,3759943,0
1,501,0,20260727,600,525623,71265,464064,49000,50000,50000,0,3,416,400,415,0,88314,6228030,3905416,0
1,501,0,20260727,650,-503745,-9482,-348302,49000,50000,50000,0,3,417,399,415,0,1062577,6073334,3906998,0
1,501,0,20260727,700,449040,-60117,216258,49000,50000,50000,0,3,415,399,412,0,2030062,6168444,3982142,0
1,501,0,20260727,750,-338634,80154,-53411,49000,50000,50000,0,3,421,397,411,0,457859,6159781,3976764,0
1,501,0,20260727,800,319178,-34110,10206,49000,50000,50000,0,3,419,399,409,0,462047,6189827,3898415,0
1,501,0,20260727,850,-242109,-40055,60435,49000,50000,50000,0,3,418,401,412,0,2031656,6221121,3896051,0
1,501,0,20260727,900,167291,81197,-99677,49000,50000,50000,0,3,423,401,415,0,1057394,6282403,3865749,0
1,501,0,20260727,950,39043,-55397,245259,49000,50000,50000,0,3,415,399,411,0,89910,6550820,3911859,0
1,501,0,20260727,1000,-264254,-16073,-389394,49000,50000,50000,0,3,413,399,410,0,1662106,6337687,3671552,0
1,501,0,20260727,1050,435386,74292,465525,49000,50000,50000,0,3,423,400,413,0,1657917,6170791,3615703,0
1,501,0,20260727,1100,-519414,-71262,-449297,49000,50000,50000,0,3,419,401,417,0,88309,6315401,3718834,0
1,501,0,20260727,1150,494647,9481,332631,49000,50000,50000,0,3,424,399,417,0,1062565,6099225,3650850,0
1,501,0,20260727,1200,-414902,60115,-177798,49000,50000,50000,0,3,423,402,422,0,2030045,6081733,3777136,0
1,501,0,20260727,1250,354100,-80151,66504,49000,50000,50000,0,3,423,400,413,0,457852,6037721,3720811,0
1,501,0,20260727,1300,-298243,34108,11504,49000,50000,50000,0,3,428,401,419,0,462038,6130679,3850045,0
1,501,0,20260727,1350,260829,40054,-42343,49000,50000,50000,0,3,424,399,412,0,2031640,6202398,3803837,0
1,501,0,20260727,1400,-150162,-81194,117721,49000,50000,50000,0,3,422,402,415,0,1057385,6187019,3753773,0
1,501,0,20260727,1450,-13468,55395,-220990,49000,50000,50000,0,3,422,401,413,0,89904,6382048,3778437,0
1,501,0,20260727,1500,249429,16072,375879,49000,50000,50000,0,3,415,400,412,0,1662092,6301528,3673683,0
1,501,0,20260727,1550,-435578,-74289,-466873,49000,50000,50000,0,3,423,398,411,0,1657905,6298575,3661169,0
1,501,0,20260727,1600,501203,71259,434195,49000,50000,50000,0,3,424,400,414,0,88304,6073130,3587087,0
1,501,0,20260727,1650,-476521,-9481,-315478,49000,50000,50000,0,3,420,400,415,0,1062555,6210203,3834369,0
1,501,0,20260727,1700,435738,-60113,199369,49000,50000,50000,0,3,423,400,415,0,2030032,6068236,3689987,0
1,501,0,20260727,1750,-383116,80148,-95024,49000,50000,50000,0,3,419,399,414,0,457846,6195021,3863305,0
1,501,0,20260727,1800,308519,-34106,-3378,49000,50000,50000,0,3,419,401,416,0,462032,6254185,3838878,0
1,501,0,20260727,1850,-258985,-40053,46387,49000,50000,50000,0,3,422,402,419,0,2031627,6190930,3762328,0
1,501,0,20260727,1900,132248,81191,-136410,49000,50000,50000,0,3,415,400,415,0,1057376,6126306,3772638,0
1,501,0,20260727,1950,38117,-55392,247896,49000,50000,50000,0,3,423,400,418,0,89899,6293653,3669718,0
