scenario_id,group,algorithm,trajectory,pli_amplitude,noise,cold_starts,repeatability_status,final_tracker_calls,state_0_blocks,state_1_blocks,state_2_blocks,cycles_mean,cycles_p95,cycles_max,deadline_cycles_external,deadline_violating_blocks,numeric_fault_rows,integrity_status,realtime_status,representative_log_sha256
501,P1,A0,F1,0.5,snr20,3,PASS,0,0,0,0,400,415,744,72000,0,0,PASS,PASS,82EB95EC3B5441DBB0957B857C571B2388ADE54C59C4A355342999110EDF1C24
502,P1,A1,F1,0.5,snr20,3,PASS,0,0,0,0,1138,1157,2588,72000,0,0,PASS,PASS,88DA1DA6912C1071151AB4B6882FA7C830E6FFEF03E62D2E27FFB34AEDFD2F1B
503,P1,A2,F1,0.5,snr20,3,PASS,160,160,0,0,328886,1156,17004317,72000,159,0,PASS,FAIL,7C5A5BE7172B1D0A8EF4CCD63B8F64E0E5D27D8B48F6CD79B7FE1741F32E56C1
504,P1,A3,F1,0.5,snr20,3,PASS,34,22,6,132,64638,1158,16892313,72000,33,0,PASS,FAIL,F9873661ED9E1DE752A96F729E4FE9AF68688BAB70A5521A1ACE56238B9DA9B4
505,P2,A2,F2,0.2,snr20,3,PASS,160,160,0,0,329900,1152,17019867,72000,159,0,PASS,FAIL,A0B59599C0D9947476370B37229D8D861ED48CBF6B38061E1974A61A9D6DB533
506,P2,A3,F2,0.2,snr20,3,PASS,34,22,6,132,64892,1154,17011041,72000,33,0,PASS,FAIL,FC0AEA1A86529B5874E6CC5946770457E26B85A3E9106C81117AD51A5926D269
507,P2,A2,F2,0.5,snr20,3,PASS,160,160,0,0,329300,1162,17041034,72000,159,0,PASS,FAIL,CE7A6FE37686C16D97F3C87D76358C68174B4874391C002265D0BD6D619C80E2
508,P2,A3,F2,0.5,snr20,3,PASS,39,27,6,127,75262,1161,16935144,72000,38,0,PASS,FAIL,B136816764C82701EF8F4498DE5232AFD2B946401453D69EC30A3614E4497B0E
509,P2,A2,F2,1.0,snr20,3,PASS,160,160,0,0,328738,1160,17024056,72000,159,0,PASS,FAIL,3578C3F8B7C964B4DE5EA1650E910B51DB8F9DF85D65A97F56BD6A1E81660990
510,P2,A3,F2,1.0,snr20,3,PASS,41,30,6,124,79292,1159,16928067,72000,40,0,PASS,FAIL,7067D1DCE745CAD1B34CD548972895843D24C6C8D8532D2EB28204D4E6737040
511,P3,A2,F3,0.5,snr20,3,PASS,160,160,0,0,328963,1160,17058357,72000,159,0,PASS,FAIL,A2387C4BBCB46EB0BA8AD1BAD0963D6F9C71E0D1EE2FBDAABD84D270A556F95F
512,P3,A3,F3,0.5,snr20,3,PASS,24,9,16,135,43718,1157,17061350,72000,23,0,PASS,FAIL,B432491818BBEA6A02CC89366545C398E2A88097D5F7CB0BA460ED841200C413
