scenario_id,algorithm,trajectory,pli_amplitude,ro_bytes,rw_bytes,rom_bytes,flash_utilization_of_64k_percent,ram_utilization_of_20k_percent,map_sha256
501,A0,F1,0.5,20456,5904,20460,31.219,28.828,9986853BA95A80E4B17812F16B81BB4CDE93948328EA876A04EC7473406C2BF1
502,A1,F1,0.5,20456,5904,20460,31.219,28.828,9986853BA95A80E4B17812F16B81BB4CDE93948328EA876A04EC7473406C2BF1
503,A2,F1,0.5,20460,5904,20464,31.226,28.828,03BCB5B9DE3D833F2424B5FA0382750438830C671747785D9AB66F30CAF50590
504,A3,F1,0.5,20460,5904,20464,31.226,28.828,BABBDC6DC2D2423CEB92D78D7138305F41D173A8DAAFFA7D31C4CF7364B992DB
505,A2,F2,0.2,20460,5904,20464,31.226,28.828,43028473A4A986DFE40FDF738EBA735481AAD6A8F5DBE2F28812368D8A9E72E9
506,A3,F2,0.2,20464,5904,20468,31.232,28.828,DA227DBD8E0C7EB087D36364DEA638F7F89074A90AAA8DAC86974A2C5BE74232
507,A2,F2,0.5,20460,5904,20464,31.226,28.828,496365B304441B1C80D4A1FC4DACC8D918E6139A9AE505B4FD4482102012D004
508,A3,F2,0.5,20460,5904,20464,31.226,28.828,5EFC49E7771B5E955D7E304522E108AB2434AF7E6822DD264B6E50D7785C705F
509,A2,F2,1.0,20460,5904,20464,31.226,28.828,496365B304441B1C80D4A1FC4DACC8D918E6139A9AE505B4FD4482102012D004
510,A3,F2,1.0,20460,5904,20464,31.226,28.828,5EFC49E7771B5E955D7E304522E108AB2434AF7E6822DD264B6E50D7785C705F
511,A2,F3,0.5,20460,5904,20464,31.226,28.828,5EFC49E7771B5E955D7E304522E108AB2434AF7E6822DD264B6E50D7785C705F
512,A3,F3,0.5,20460,5904,20464,31.226,28.828,BABBDC6DC2D2423CEB92D78D7138305F41D173A8DAAFFA7D31C4CF7364B992DB
