scenario_id,algorithm,host_output_snr_db,proteus_output_snr_db,physical_output_snr_db,host_physical_snr_abs_diff_db,host_physical_frequency_mae_abs_diff_hz,host_physical_tracker_calls_abs_diff,host_physical_state_mismatches,host_proteus_snr_abs_diff_db,host_proteus_frequency_mae_abs_diff_hz,host_proteus_tracker_calls_abs_diff,host_proteus_state_mismatches,proteus_physical_snr_abs_diff_db,proteus_physical_tracker_calls_abs_diff,proteus_physical_state_mismatches
501,A0,-5.310896,-5.310893,-5.310901,0.000005,0.000000,0,0,0.000003,0.000000,0,0,0.000008,0,0
502,A1,7.862555,7.833911,7.862565,0.000011,0.000000,0,0,0.028643,0.000000,0,0,0.028654,0,0
503,A2,14.221892,14.200078,14.221944,0.000052,0.000050,0,0,0.021814,0.004144,0,0,0.021866,0,0
504,A3,14.221892,14.217227,14.221944,0.000052,0.000062,0,0,0.004665,0.000131,1,2,0.004717,1,2
505,A2,15.250367,15.250399,15.250434,0.000067,0.000103,0,0,0.000032,0.000103,0,0,0.000035,0,0
506,A3,15.250832,15.250025,15.250901,0.000069,0.000115,0,0,0.000807,0.004033,2,4,0.000876,2,4
507,A2,9.628011,9.615260,9.628029,0.000018,0.000080,0,0,0.012751,0.008267,0,0,0.012769,0,0
508,A3,9.628011,9.626334,9.628029,0.000018,0.000080,0,0,0.001677,0.000161,2,4,0.001695,2,4
509,A2,4.069772,4.037288,4.069775,0.000003,0.000094,0,0,0.032484,0.008831,0,0,0.032488,0,0
510,A3,4.069772,4.069000,4.069775,0.000003,0.000106,0,0,0.000772,0.000175,1,4,0.000775,1,4
511,A2,15.818385,15.817872,15.818460,0.000075,0.000024,0,0,0.000512,0.000024,0,0,0.000588,0,0
512,A3,15.248041,15.048694,15.248108,0.000067,0.000005,0,0,0.199347,0.022336,2,13,0.199415,2,13
