metric,unit,preferred_direction,difference_definition,n,a2_mean,a3_mean,difference_mean,difference_sd,difference_median,difference_q1,difference_q3,bootstrap_ci95_mean_lower,bootstrap_ci95_mean_upper,paired_effect_cohen_dz,wilcoxon_two_sided_p,relative_change_definition,relative_change_n,relative_change_mean_fraction,relative_change_median_fraction
output_snr_db,dB,higher,A3_minus_A2,1620,12.809531741610186,12.668828105481834,-0.1407036361283514,0.2667478495913404,-0.012923168045043454,-0.17359150067120233,-6.955581999257276e-08,-0.15410534616163343,-0.1278888278297775,-0.5274780521901503,2.8433594542267847e-179,(A3-A2)/abs(A2),1620,-0.009008792351592099,-0.0011502980440921266
snr_improvement_db,dB,higher,A3_minus_A2,1620,19.90154351902583,19.76083988289748,-0.14070363612835143,0.26674784959134046,-0.01292316804505056,-0.17359150067120366,-6.955581888234974e-08,-0.15414247249469268,-0.12800430989623765,-0.5274780521901503,2.8433594542267847e-179,(A3-A2)/abs(A2),1620,-0.00669011990271066,-0.0008824370820966344
rmse,signal_unit,lower,A3_minus_A2,1620,0.038682109536155036,0.03907318370212116,0.0003910741659661199,0.0005741614751344255,5.8474259764100187e-05,2.778645508128008e-10,0.0006419107882068517,0.0003634576160166372,0.0004191055768975851,0.6811222676940484,1.0910268249228717e-178,(A3-A2)/abs(A2),1620,0.016825521724080823,0.0014889420909777375
frequency_mae_hz,Hz,lower,A3_minus_A2,1620,0.11476439773712625,0.14580899689226973,0.031044599155143453,0.049679219311737174,0.006460904598236103,2.1696090698003446e-06,0.03619913458824155,0.028689671173345897,0.03348040333057627,0.6249011072484563,2.0538974370029298e-203,(A3-A2)/abs(A2),1619,0.36774524000476394,0.07838209461472317
frequency_p95_abs_error_hz,Hz,lower,A3_minus_A2,1620,0.3269305036096043,0.40179591437903145,0.07486541076942721,0.11842478987717614,0.002384567260742154,0.0,0.11249098777771005,0.06921303363199577,0.08062759648723346,0.6321768512071975,3.7646368759266075e-168,(A3-A2)/abs(A2),1615,23.168718431220825,0.2456873025877914
tracker_calls,calls_per_8000_samples,lower,A3_minus_A2,1620,160.0,37.82098765432099,-122.17901234567901,28.323378427484272,-130.0,-139.0,-121.0,-123.52592592592593,-120.77776234567901,-4.313716058219936,2.100278952302461e-266,(A3-A2)/abs(A2),1620,-0.7636188271604938,-0.8125
state_fast_fraction,fraction,descriptive,A3_minus_A2,1620,1.0,0.15698348765432096,-0.8430165123456789,0.1837884887957689,-0.900125,-0.950125,-0.825125,-0.8518842650462962,-0.8339370949074073,-4.5868841833857354,1.8334743148172524e-266,(A3-A2)/abs(A2),1620,-0.8430165123456789,-0.900125
state_mid_fraction,fraction,descriptive,A3_minus_A2,1620,0.0,0.08320416666666666,0.08320416666666666,0.09954815576865032,0.0375,0.01875,0.1125,0.07839380979938272,0.08808151041666666,0.8358182632738365,4.145057266563143e-270,(A3-A2)/abs(A2),0,,
state_slow_fraction,fraction,descriptive,A3_minus_A2,1620,0.0,0.7598123456790121,0.7598123456790121,0.23277858746560173,0.818875,0.768875,0.925125,0.7482212172067899,0.7709402874228394,3.264098961814052,2.2067819537776924e-266,(A3-A2)/abs(A2),0,,
state_transitions,count_per_8000_samples,descriptive,A3_minus_A2,1620,0.0,7.104320987654321,7.104320987654321,6.005421153615748,5.0,2.0,10.0,6.818518518518519,7.4,1.182984641031703,9.712072242123948e-271,(A3-A2)/abs(A2),0,,
