candidate_id,complete_config_id,family,level,interval_fast_blocks,interval_mid_blocks,interval_slow_blocks,residual_new_weight,threshold_scale,block_size_samples,run_count,mean_paired_snr_difference_db,median_paired_snr_difference_db,minimum_paired_snr_difference_db,paired_snr_bootstrap_ci95_lower_db,paired_snr_bootstrap_ci95_upper_db,snr_gate_pass,median_host_tsc_ticks_per_sample,median_host_ns_per_sample,median_tracker_calls_reduction_fraction,all_finite,selected,source_run_count_verified
intervals-1-2-6,4b523f7360c450e6,state_intervals,1/2/6,1,2,6,0.15,1.0,50,30,-0.2474202516000002,-0.2719645069999998,-0.4886883649999998,-0.3135136961983336,-0.1793458998991669,1,1958.4281875,850.06875,0.671875,1,0,30
intervals-1-3-12,da2acf7eee63d91c,state_intervals,1/3/12,1,3,12,0.15,1.0,50,30,-0.3805969784666667,-0.4704750699999991,-0.7529195059999996,-0.4798259425008336,-0.2793920660983334,1,1566.8899375,680.09375,0.7406250000000001,1,0,30
intervals-1-4-16,b5e67ba091c9f2dc,state_intervals,1/4/16,1,4,16,0.15,1.0,50,30,-0.4136241672666668,-0.4600678140000003,-0.8367119449999993,-0.5286555342675003,-0.2945927940341669,0,1318.3602500000002,572.21875,0.765625,1,0,30
residual-new-0p05,d8c01d9e37dbf62b,residual_new_weight,0.05,1,3,12,0.05,1.0,50,30,-0.5007030085000002,-0.6869044244999998,-0.8752176190000007,-0.6239977036683335,-0.3681737653183335,0,1834.9821875,796.45625,0.69375,1,0,30
residual-new-0p15,da2acf7eee63d91c,residual_new_weight,0.15,1,3,12,0.15,1.0,50,30,-0.3805969784666667,-0.4704750699999991,-0.7529195059999996,-0.4797815788133334,-0.2777953061191667,1,1502.674625,652.25,0.7406250000000001,1,0,30
residual-new-0p30,2bbfc2ff25556e06,residual_new_weight,0.3,1,3,12,0.3,1.0,50,30,-0.2777594819000001,-0.273305434,-0.6477001290000004,-0.3590428802325003,-0.1951247970866669,1,1225.3289375,531.8375,0.7875,1,1,30
threshold-scale-0p75,a894e0f0ff8dd7f6,threshold_scale,0.75,1,3,12,0.15,0.75,50,30,-0.2688459726333335,-0.2729726849999991,-0.6121045200000008,-0.3481504989808335,-0.1912265585900001,1,1666.106375,723.2,0.715625,1,0,30
threshold-scale-1p00,da2acf7eee63d91c,threshold_scale,1.0,1,3,12,0.15,1.0,50,30,-0.3805969784666667,-0.4704750699999991,-0.7529195059999996,-0.4804468451183334,-0.2784231859883333,1,1511.0739374999998,655.875,0.7406250000000001,1,0,30
threshold-scale-1p25,520364bcca39e572,threshold_scale,1.25,1,3,12,0.15,1.25,50,30,-0.4395022306000001,-0.613367341,-0.7729090969999994,-0.5481527155608333,-0.3229169907066669,0,1376.3665,597.4,0.75625,1,0,30
block-size-25,80364918997deba9,block_size_samples,25,1,3,12,0.15,1.0,25,30,0.1249157727333333,0.1370892505000007,0.0174589699999998,0.0984032596049998,0.1511819849608335,1,12767.8885,5541.8125,-1.0,1,0,30
block-size-50,da2acf7eee63d91c,block_size_samples,50,1,3,12,0.15,1.0,50,30,-0.3805969784666667,-0.4704750699999991,-0.7529195059999996,-0.4785986528383333,-0.2792920276183334,1,1504.51825,653.03125,0.7406250000000001,1,0,30
block-size-100,3e206426e5a4aa36,block_size_samples,100,1,3,12,0.15,1.0,100,30,-1.4702341658333336,-2.0212264210000006,-2.234344899,-1.761214026164167,-1.1562858795408335,0,747.9024999999999,324.61249999999995,0.875,1,0,30
