archive,trajectory,pli_amplitude,noise,seed,algorithm,algorithm_name,search_mode,output_snr_db,frequency_mae_hz,rmse,tracker_calls,tracker_searches,tracker_grid_evaluations
main_F0_P020_Z0_N0.npz,F0,0.2,0,1000,2,A2,0,22.574627879223176,0.004374957084655762,0.010824819962190538,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1000,2,A2,1,22.574627879223176,0.004374957084655762,0.010824819962190538,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1000,3,A3,0,22.57210318885953,0.007880878448486329,0.010827966823596635,17,16,3216
main_F0_P020_Z0_N0.npz,F0,0.2,0,1000,3,A3,1,22.57210318885953,0.007880878448486329,0.010827966823596635,17,16,512
main_F0_P020_Z0_N0.npz,F0,0.2,0,1000,7,B4,0,22.589366190997055,0.0,0.010806467864659068,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1000,7,B4,1,22.589366190997055,0.0,0.010806467864659068,14,13,416
main_F0_P020_Z0_N0.npz,F0,0.2,0,1001,2,A2,0,22.39542997745452,0.009687471389770507,0.011050465601377651,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1001,2,A2,1,22.39542997745452,0.009687471389770507,0.011050465601377651,160,159,5088
main_F0_P020_Z0_N0.npz,F0,0.2,0,1001,3,A3,0,22.262846429043627,0.035390281677246095,0.011220436555805683,15,14,2814
main_F0_P020_Z0_N0.npz,F0,0.2,0,1001,3,A3,1,22.262846429043627,0.035390281677246095,0.011220436555805683,15,14,448
main_F0_P020_Z0_N0.npz,F0,0.2,0,1001,7,B4,0,22.457966458816195,0.0,0.01097119042117896,14,13,2613
main_F0_P020_Z0_N0.npz,F0,0.2,0,1001,7,B4,1,22.457966458816195,0.0,0.01097119042117896,14,13,416
main_F0_P020_Z0_N0.npz,F0,0.2,0,1002,2,A2,0,22.327897417451634,0.0015624761581420898,0.011136717545140291,160,159,31959
main_F0_P020_Z0_N0.npz,F0,0.2,0,1002,2,A2,1,22.327897417451634,0.0015624761581420898,0.011136717545140291,160,159,5088
