record,subject_cluster,selected_lead,segment,start_seconds,trajectory,pli_amplitude,noise,algorithm,algorithm_name,output_snr_db,prd_percent,correlation,frequency_mae_hz,tracker_calls,tracker_searches,tracker_grid_evaluations
100,subject_100,MLII,0,300,F0,0.2,none,2,A2,16.633203448126913,14.7346501124377,0.9900075264952374,0.028547263145446776,160,159,5088
100,subject_100,MLII,0,300,F0,0.2,none,3,A3,16.634752601393636,14.732022379774046,0.9900111370674359,0.027272605895996095,124,123,3936
100,subject_100,MLII,0,300,F0,0.2,none,7,B4,16.632600644501228,14.735672737534106,0.9900058960027451,0.030938053131103517,137,136,4352
100,subject_100,MLII,0,300,F0,0.2,20dB,2,A2,14.874142071950587,18.04234140220071,0.9850458179639717,0.0338303804397583,160,159,5088
100,subject_100,MLII,0,300,F0,0.2,20dB,3,A3,14.875295904495236,18.03994481890292,0.9850498753617575,0.03281552791595459,115,114,3648
100,subject_100,MLII,0,300,F0,0.2,20dB,7,B4,14.878846608845294,18.0325717779623,0.9850631699559458,0.037645363807678224,112,111,3552
100,subject_100,MLII,0,300,F0,0.5,none,2,A2,15.21163263667461,17.354750249633017,0.9861161063361202,0.008598661422729493,160,159,5088
100,subject_100,MLII,0,300,F0,0.5,none,3,A3,15.211937841622925,17.354140448816295,0.9861170832643075,0.008188700675964356,123,122,3904
100,subject_100,MLII,0,300,F0,0.5,none,7,B4,15.205502588451417,17.36700265092459,0.9860965495549555,0.012942790985107422,123,122,3904
100,subject_100,MLII,0,300,F0,0.5,20dB,2,A2,13.966215917376179,20.03038072318073,0.9815965400665119,0.008637595176696777,160,159,5088
100,subject_100,MLII,0,300,F0,0.5,20dB,3,A3,13.967843914309949,20.026626779260386,0.9816038536711821,0.008773040771484376,87,86,2752
100,subject_100,MLII,0,300,F0,0.5,20dB,7,B4,13.968012455492085,20.026238185950426,0.9816044082920489,0.007203030586242676,71,70,2240
100,subject_100,MLII,0,300,F1,0.2,none,2,A2,16.074220657874875,15.714080264478488,0.9885947713046233,0.09841301441192626,160,159,5088
100,subject_100,MLII,0,300,F1,0.2,none,3,A3,16.074159746481392,15.714190462733624,0.9885944715168818,0.09785370826721192,131,130,4160
100,subject_100,MLII,0,300,F1,0.2,none,7,B4,16.0746101613154,15.713375609992989,0.9885957167323756,0.09667723178863526,137,136,4352
100,subject_100,MLII,0,300,F1,0.2,20dB,2,A2,14.639242160352053,18.536933502046196,0.9841628357558075,0.104970383644104,160,159,5088
