subject_cluster,comparison,record_count,paired_condition_count,mean_output_snr_difference_db,mean_frequency_mae_difference_hz,mean_tracker_call_difference,mean_grid_evaluation_difference
subject_100,A3_minus_A2,1,72,-0.002257189634193487,0.001115378406428843,-31.625,-1012.0
subject_101,A3_minus_A2,1,72,-0.01076444266342601,0.004665567863114484,-65.76388888888889,-2104.4444444444443
subject_102,A3_minus_A2,1,72,-0.003461692910616327,0.0008347562381946273,-49.361111111111114,-1579.5555555555557
subject_103,A3_minus_A2,1,72,-0.009092266953173988,0.003801806762885605,-61.75,-1976.0
subject_104,A3_minus_A2,1,72,-0.0040520641006250736,0.0011771946471095922,-42.041666666666664,-1345.3333333333333
subject_105,A3_minus_A2,1,72,-0.033703115290166535,0.007581654205203147,-79.91666666666667,-2557.3333333333335
subject_106,A3_minus_A2,1,72,-0.01430319322846533,0.00520002145817195,-71.77777777777777,-2296.8888888888887
subject_107,A3_minus_A2,1,72,-0.05150931636938153,0.008975964711529498,-92.08333333333333,-2946.6666666666665
subject_108,A3_minus_A2,1,72,-0.02777381482385577,0.006007227429910506,-64.08333333333333,-2050.6666666666665
subject_109,A3_minus_A2,1,72,-0.021513062150984624,0.005118375372370576,-79.11111111111111,-2531.5555555555557
subject_111,A3_minus_A2,1,72,-0.03935290745261044,0.008336391255144189,-79.80555555555556,-2553.777777777778
subject_112,A3_minus_A2,1,72,-0.03822485684623131,0.007983449306328601,-91.625,-2932.0
subject_113,A3_minus_A2,1,72,-0.011829777462570757,0.003209882825029339,-46.18055555555556,-1477.7777777777778
subject_114,A3_minus_A2,1,72,-0.007405416387949264,0.0029668812923060884,-52.875,-1692.0
subject_115,A3_minus_A2,1,72,-0.0037529089148149453,0.002011573328864415,-54.263888888888886,-1736.4444444444443
subject_116,A3_minus_A2,1,72,-0.01372741435846551,0.004980813998481007,-69.48611111111111,-2223.5555555555557
subject_117,A3_minus_A2,1,72,-0.024120886488213644,0.006682920767196177,-85.125,-2724.0
subject_118,A3_minus_A2,1,72,-0.009387720079376827,0.0036263254292095704,-65.13888888888889,-2084.4444444444443
subject_119,A3_minus_A2,1,72,-0.0070122339500359055,0.0022383834808021603,-55.97222222222222,-1791.111111111111
subject_121,A3_minus_A2,1,72,-0.03889870654535269,0.006972091717854006,-77.25,-2472.0
subject_122,A3_minus_A2,1,72,-0.02135782670042732,0.005538993170762949,-76.20833333333333,-2438.6666666666665
subject_123,A3_minus_A2,1,72,-0.012354700802932475,0.0051681067362550565,-77.98611111111111,-2495.5555555555557
subject_124,A3_minus_A2,1,72,-0.02469553607920531,0.005145028359950783,-76.30555555555556,-2441.777777777778
subject_200,A3_minus_A2,1,72,-0.0488638056826165,0.00573149461529217,-50.666666666666664,-1621.3333333333333
subject_201_202,A3_minus_A2,2,144,-0.016897207846770387,0.004439579400486504,-57.6875,-1846.0
subject_203,A3_minus_A2,1,72,-0.02557596314868207,0.006102834374517329,-80.76388888888889,-2584.4444444444443
subject_205,A3_minus_A2,1,72,-0.0370295537348538,0.005857481130018034,-59.638888888888886,-1908.4444444444443
subject_207,A3_minus_A2,1,72,-0.04255132114686994,0.007259866152122824,-81.44444444444444,-2606.222222222222
subject_208,A3_minus_A2,1,72,-0.02001846283057376,0.004493655374470159,-60.18055555555556,-1925.7777777777778
subject_209,A3_minus_A2,1,72,-0.011971250654337684,0.004517865543166012,-60.31944444444444,-1930.2222222222222
subject_210,A3_minus_A2,1,72,-0.006393750788620157,0.002362367177908428,-52.111111111111114,-1667.5555555555557
subject_212,A3_minus_A2,1,72,-0.025098651511485714,0.008128121712790605,-80.73611111111111,-2583.5555555555557
subject_213,A3_minus_A2,1,72,-0.05108667560590131,0.01232583968936666,-99.59722222222223,-3187.1111111111113
subject_214,A3_minus_A2,1,72,-0.011743136325331551,0.0029149403295955106,-56.75,-1816.0
subject_215,A3_minus_A2,1,72,-0.03264686361006334,0.009657386341489596,-80.86111111111111,-2587.5555555555557
subject_217,A3_minus_A2,1,72,-0.022312742603183475,0.0050488777136256,-73.73611111111111,-2359.5555555555557
subject_219,A3_minus_A2,1,72,-0.011058881262842466,0.0030050976475796782,-59.81944444444444,-1914.2222222222222
subject_220,A3_minus_A2,1,72,-0.002268916322194651,0.002822794597393654,-66.23611111111111,-2119.5555555555557
subject_221,A3_minus_A2,1,72,-0.005799815074691998,0.0019094297499802392,-36.22222222222222,-1159.111111111111
subject_222,A3_minus_A2,1,72,-0.024997720442530087,0.004933716639167864,-42.875,-1372.0
subject_223,A3_minus_A2,1,72,-0.035589119917618026,0.00523956871501758,-69.19444444444444,-2214.222222222222
subject_228,A3_minus_A2,1,72,-0.023034098248352366,0.004333919099167219,-48.513888888888886,-1552.4444444444443
subject_230,A3_minus_A2,1,72,-0.012240750631184424,0.0043990459294034005,-71.02777777777777,-2272.8888888888887
subject_231,A3_minus_A2,1,72,-0.009250396109420848,0.004389021888167725,-73.80555555555556,-2361.777777777778
subject_232,A3_minus_A2,1,72,-0.015803881236033712,0.00488796254923839,-66.91666666666667,-2141.3333333333335
subject_233,A3_minus_A2,1,72,-0.03250701823253604,0.006421605942888588,-80.05555555555556,-2561.777777777778
subject_234,A3_minus_A2,1,72,-0.016296642881178824,0.0051859329102812105,-74.01388888888889,-2368.4444444444443
subject_100,A3_minus_B4,1,72,0.0023107894967715234,-0.00162085022002947,1.25,40.0
subject_101,A3_minus_B4,1,72,0.010868349511789955,-0.003318698285145251,1.2777777777777777,40.888888888888886
subject_102,A3_minus_B4,1,72,0.005617774519315135,-0.004119530504454599,2.0277777777777777,64.88888888888889
subject_103,A3_minus_B4,1,72,0.007643063607528521,-0.00204597986249502,-3.6527777777777777,-116.88888888888889
subject_104,A3_minus_B4,1,72,0.01038642244332117,-0.0009718187504742954,-0.1388888888888889,-4.444444444444445
subject_105,A3_minus_B4,1,72,0.01669766581476415,-0.0028978479991443053,3.513888888888889,112.44444444444444
subject_106,A3_minus_B4,1,72,0.01732978432798782,-0.0031134873302723362,1.9166666666666667,61.333333333333336
subject_107,A3_minus_B4,1,72,0.016695284031253237,-0.004016005198572644,-7.513888888888889,-240.44444444444446
subject_108,A3_minus_B4,1,72,0.037421946956486735,-0.0052376467531757955,-3.9166666666666665,-125.33333333333333
subject_109,A3_minus_B4,1,72,0.02133124864487786,-0.0039837072337173506,4.166666666666667,133.33333333333334
subject_111,A3_minus_B4,1,72,0.04894417670649393,-0.007794304055306832,-3.5277777777777777,-112.88888888888889
subject_112,A3_minus_B4,1,72,0.09249309811659162,-0.012619553492022494,2.5277777777777777,80.88888888888889
subject_113,A3_minus_B4,1,72,0.010765186164149343,-0.0024470139563598056,-13.277777777777779,-424.8888888888889
subject_114,A3_minus_B4,1,72,0.004618897801558318,-0.0022601987803931196,-1.6944444444444444,-54.22222222222222
subject_115,A3_minus_B4,1,72,0.0024856110943193904,-0.0015842527350439833,-3.5833333333333335,-114.66666666666667
subject_116,A3_minus_B4,1,72,0.008816830788463292,-0.002273406676848265,1.3055555555555556,41.77777777777778
subject_117,A3_minus_B4,1,72,0.0274611735033381,-0.0047739023039165855,1.5416666666666667,49.333333333333336
subject_118,A3_minus_B4,1,72,0.01127847471669795,-0.0024420261091688397,1.625,52.0
subject_119,A3_minus_B4,1,72,0.007777952648309988,-0.0020534653536290115,-7.111111111111111,-227.55555555555554
subject_121,A3_minus_B4,1,72,0.021787926527574886,-0.0020647353092074013,-9.11111111111111,-291.55555555555554
subject_122,A3_minus_B4,1,72,0.023520479719710656,-0.004923613944127856,5.430555555555555,173.77777777777777
subject_123,A3_minus_B4,1,72,0.015634925614181103,-0.004612044367809325,4.041666666666667,129.33333333333334
subject_124,A3_minus_B4,1,72,0.006727181738703816,-0.0016918467082235812,-11.819444444444445,-378.22222222222223
subject_200,A3_minus_B4,1,72,-0.051921692883505566,0.0018057949746570787,1.2777777777777777,40.888888888888886
subject_201_202,A3_minus_B4,2,144,0.009985094221053488,-0.0018191732928587029,-4.3125,-138.0
subject_203,A3_minus_B4,1,72,0.0287015358425141,-0.003509409199817187,2.3194444444444446,74.22222222222223
subject_205,A3_minus_B4,1,72,0.0232010873375169,-0.003648306418799609,0.5,16.0
subject_207,A3_minus_B4,1,72,0.0580736761428459,-0.00616457126641281,-6.861111111111111,-219.55555555555554
subject_208,A3_minus_B4,1,72,0.03834094215478926,-0.004664601803352213,-0.375,-12.0
subject_209,A3_minus_B4,1,72,0.0162269041700099,-0.005830510793168414,3.736111111111111,119.55555555555556
subject_210,A3_minus_B4,1,72,0.012287960532720485,-0.0025653338705314732,0.5138888888888888,16.444444444444443
subject_212,A3_minus_B4,1,72,0.04082376385123987,-0.00599103461251648,0.4305555555555556,13.777777777777779
subject_213,A3_minus_B4,1,72,0.034245103226769116,-0.004572877438829624,0.20833333333333334,6.666666666666667
subject_214,A3_minus_B4,1,72,0.008314202733209757,-0.001216680951056226,-3.5972222222222223,-115.11111111111111
