BOOT,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17
CONFIG,protocol=cssp-rdmr-pli-v0.5.0,implementation=0.4.1,schema=rdmr-block-csv-v3,firmware_revision=17,run_id=1,scenario_id=812,algorithm=7,trajectory=0,noise=0,near_line=0,seed=1007,fs_hz=1000,sample_count=8000,block_size=50,tracker_search_mode=1,tracker_grid_points_max=32,pli_amplitude_u6=200000,value_scale=1000000,frequency_scale=1000,cycles=block_max
run_id,scenario_id,algorithm,seed,n,input,clean,output,true_frequency,estimated_frequency,estimated_frequency_next,tracker_calls,tracker_searches,tracker_grid_evaluations,state,cycles,block_cycles_total,block_cycles_mean,block_cycles_p95,residual_ratio,desired_energy,input_error_energy,output_error_energy,numeric_flags
1,812,7,1007,50,-20139,74297,69004,50000,50000,50000,1,0,0,2,4508,61043,1221,1158,23778,1657941,999943,277520,0
1,812,7,1007,100,23163,-71268,-67730,50000,50000,50000,1,0,0,2,1570,57058,1141,1161,24546,88319,999833,6265,0
1,812,7,1007,150,-84942,9483,-4337,50000,50000,50000,1,0,0,2,1567,56955,1139,1159,17875,1062586,999724,4292,0
1,812,7,1007,200,154540,60119,74990,50000,50000,50000,1,0,0,2,1588,57054,1141,1169,12783,2030073,999614,7927,0
1,812,7,1007,250,-174573,-80157,-84120,50000,50000,50000,1,0,0,2,1556,56951,1139,1158,9471,457865,999504,2355,0
1,812,7,1007,300,128522,34111,23939,50000,50000,50000,1,0,0,2,1581,57098,1142,1160,7803,462054,999394,2109,0
1,812,7,1007,350,-54348,40056,55971,50000,50000,50000,1,0,0,2,1572,57013,1140,1151,5783,2031670,999285,7849,0
1,812,7,1007,400,13199,-81200,-89737,50000,50000,50000,1,0,0,2,1574,57011,1140,1157,4311,1057403,999175,4549,0
1,812,7,1007,450,-38993,55400,49520,50000,50000,50000,1,0,0,2,1593,57034,1141,1163,7368,89916,999066,849,0
1,812,7,1007,500,110462,16073,31521,50000,50000,50000,1,0,0,2,1574,56735,1135,1151,5578,1662118,998957,6435,0
1,812,7,1007,550,-168678,-74295,-86576,50000,50000,50000,1,0,0,2,1571,57058,1141,1160,4141,1657929,998848,6683,0
1,812,7,1007,600,165643,71265,70254,50000,50000,50000,1,0,0,2,1571,56973,1139,1158,6075,88314,998738,943,0
1,812,7,1007,650,-103855,-9482,3987,50000,50000,50000,2,1,32,2,2716595,2771801,55436,1153,4871,1062577,998628,4243,0
1,812,7,1007,700,34250,-60117,-74941,50000,50000,50000,2,1,32,2,1587,56973,1139,1165,3673,2030062,998519,7943,0
1,812,7,1007,750,-14207,80154,84110,50000,50000,50000,2,1,32,2,1571,57086,1142,1159,3089,457859,998409,2357,0
1,812,7,1007,800,60246,-34110,-23937,50000,50000,50000,2,1,32,2,1584,56916,1138,1154,3335,462047,998300,2109,0
1,812,7,1007,850,-134406,-40055,-55970,50000,50000,50000,2,1,32,2,1595,56896,1138,1165,2655,2031656,998191,7849,0
1,812,7,1007,900,175543,81197,89733,50000,50000,50000,2,1,32,2,1585,56920,1138,1160,2121,1057394,998082,4549,0
1,812,7,1007,950,-149738,-55397,-49517,50000,50000,50000,2,1,32,2,1608,56910,1138,1161,5831,89910,997972,849,0
1,812,7,1007,1000,78262,-16073,-31521,50000,50000,50000,2,1,32,2,1575,56846,1137,1152,4501,1662106,997862,6435,0
1,812,7,1007,1050,-20037,74292,86573,50000,50000,50000,2,1,32,2,1579,56969,1139,1158,3387,1657917,997752,6683,0
1,812,7,1007,1100,23062,-71262,-70251,50000,50000,50000,2,1,32,2,1582,57024,1140,1160,5544,88309,997643,943,0
1,812,7,1007,1150,-84837,9481,-3988,50000,50000,50000,2,1,32,2,1591,56916,1138,1160,4498,1062565,997533,4243,0
1,812,7,1007,1200,154428,60115,74938,50000,50000,50000,2,1,32,2,1579,57024,1140,1168,3412,2030045,997424,7943,0
1,812,7,1007,1250,-174459,-80151,-84107,50000,50000,50000,3,2,64,2,2694008,2749357,54987,1161,2906,457852,997315,2357,0
1,812,7,1007,1300,128411,34108,23935,50000,50000,50000,3,2,64,2,1575,56975,1140,1156,3205,462038,997205,2109,0
1,812,7,1007,1350,-54243,40054,55969,50000,50000,50000,3,2,64,2,1582,56925,1139,1163,2563,2031640,997096,7849,0
1,812,7,1007,1400,13098,-81194,-89730,50000,50000,50000,3,2,64,2,1566,56787,1136,1159,2057,1057385,996987,4549,0
1,812,7,1007,1450,-38891,55395,49515,50000,50000,50000,3,2,64,2,1596,56920,1138,1148,5781,89904,996878,848,0
1,812,7,1007,1500,110354,16072,31521,50000,50000,50000,3,2,64,2,1585,56924,1138,1160,4466,1662092,996769,6435,0
1,812,7,1007,1550,-168566,-74289,-86570,50000,50000,50000,3,2,64,2,1561,56994,1140,1166,3362,1657905,996660,6683,0
1,812,7,1007,1600,165530,71259,70247,50000,50000,50000,3,2,64,2,1570,57006,1140,1160,5524,88304,996550,943,0
1,812,7,1007,1650,-103746,-9481,3989,50000,50000,50000,3,2,64,2,1573,56841,1137,1160,4483,1062555,996441,4243,0
1,812,7,1007,1700,34147,-60113,-74936,50000,50000,50000,3,2,64,2,1590,56979,1140,1161,3401,2030032,996332,7943,0
